Country,Year,preg_rate
England,1992,43.3
England,1993,42.1
England,1994,41.6
England,1995,41.6
England,1996,45.9
England,1997,45.5
England,1998,46.6
England,1999,44.8
England,2000,43.6
England,2001,42.5
England,2002,42.8
England,2003,42.1
England,2004,41.6
England,2005,41.4
England,2006,40.6
England,2007,41.4
England,2008,39.7
England,2009,37.1
England,2010,34.2
England,2011,30.7
England,2012,27.7
England,2013,24.3
England,2014,22.8
England,2015,20.8
England,2016,18.8
